level,rep,group,diet_no,ratio,yeast,sugar,CFU_AP,CFU_LB,Fecundity,Weight,Protein,Glucose,TAG,Average_counts_L,Average_counts_D,sleep_time_L,sleep_time_D
90,4,LB,7,00:01,0,90,0,8000,0,1.2268,1.84334104,0.015954257,0.182437422,86.29896907,79.14583333,48.93333333,41.63333333
90,5,AP,7,00:01,0,90,400,0,1,1.2612,0.207,0.015539631,0.119071799,59.02061856,38.1875,48.26666667,53.07435897
90,5,AP+LB,7,00:01,0,90,12800,3200,8,1.4788,0.54501633,0.016990212,0.211787367,79.7628866,46.05208333,40.49166667,46.54215686
90,5,AX,7,00:01,0,90,0,0,1,1.573,0.546237874,0.015357542,0.127,63.60824742,53.69791667,45.58589744,95.62878788
90,5,CV,7,00:01,0,90,700,300,1,1.2078,0.62058533,0.01322658,0.178509841,21.20618557,24.45833333,81.5245614,72.82368421
90,5,LB,7,00:01,0,90,0,8000,22,1.4362,0.952,0.017208383,0.173880788,60.34020619,33.53125,42.59166667,65.81733333
90,6,AP,7,00:01,0,90,,,,,,,,,,,
90,6,AP+LB,7,00:01,0,90,,,,,,,,,,,
90,6,AX,7,00:01,0,90,0,0,,,,,,,,,
90,6,CV,7,00:01,0,90,,,,1.285,0.304517002,0.017028501,0.106872318,,,,
90,6,LB,7,00:01,0,90,,,,,,,,,,,
90,7,AP,7,00:01,0,90,,,,,,,,,,,
90,7,AP+LB,7,00:01,0,90,,,,,,,,,,,
90,7,AX,7,00:01,0,90,0,0,,,,,,,,,
90,7,CV,7,00:01,0,90,,,,1.4116,0.554412508,0.02404895,0.096648637,,,,
90,7,LB,7,00:01,0,90,,,,,,,,,,,
90,8,AP,7,00:01,0,90,,,,,,,,,,,
90,8,AP+LB,7,00:01,0,90,,,,,,,,,,,
90,8,AX,7,00:01,0,90,0,0,,,,,,,,,
90,8,CV,7,00:01,0,90,,,,1.4998,0.645339436,0.024776614,0.091527086,,,,
90,8,LB,7,00:01,0,90,,,,,,,,,,,
90,9,AP,7,00:01,0,90,,,,,,,,,,,
90,9,AP+LB,7,00:01,0,90,,,,,,,,,,,
90,9,AX,7,00:01,0,90,0,0,,,,,,,,,
90,9,CV,7,00:01,0,90,,,,1.461,0.662477814,0.026839837,0.121932271,,,,
90,9,LB,7,00:01,0,90,,,,,,,,,,,
180,1,AP,13,00:01,0,180,3270,0,0,1.3201125,0.675787997,0.026354321,0.114559575,141.8969072,33.79166667,0,85.30490196
180,1,AP+LB,13,00:01,0,180,900,1100,0,1.523,0.552448661,0.014349592,0.130825151,120.257732,30.9375,39.26666667,99.84411765
180,1,AX,13,00:01,0,180,0,0,0,1.19895,0.491658271,0.031950868,0.19188126,45.80412371,42.85416667,45.45,91.87564103
180,1,CV,13,00:01,0,180,1600,1100,0,1.182416667,0.498532963,0.02911962,0.123045961,91.55670103,50.5625,37.6,52.99722222
